,watch_name,Watch Description,Watch Price,Total Rating
0,CRESTELLO,Black Plated Metal Chain Analog Wrist Watch for Men | CR-BK023-BLK-CH,"5,595","3,347"
1,Fossil,Chronograph White Dial Men's Watch-CH2882,349,5
2,LOUIS DEVIN,Stainless Steel Chain Analog Wrist Watch for Men (Silver/Green/Blue/Black Dial) | LD-CP059,"1,499",205
3,Fossil,Tillie Analog White Dial Women's Watch-BQ3497,"7,145",332
4,boAt,Analog Men's Watch (Dial Colored Strap),355,322
5,TIMEWEAR,"boAt Newly Launched Ultima Call Max with 2"" Big HD Display, Advanced BT Calling, 100+ Sports Modes, 10 Days Battery Life, Multiple Watch Faces, IP68, HR & SpO2, Sedentary Alerts(Cherry Blossom)","1,999","12,928"
6,Sonata,WT030 Leather Strap Analog Wrist Watch for Men,299,696
7,LOUIS DEVIN,Fibre (SF) Analog Silver Dial Men's Watch NL7921PP15 / NL7921PP15,549,"2,148"
8,MARVIK,Analogue Women's Watch (Black Dial),339,736
9,IMPERIOUS - THE ROYAL WAY,"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls",449,40
10,Fire-Boltt,Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,799,"62,531"
11,Shocknshop,"Fire-Boltt Talk 2 Pro Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker with IP68 Rating (Green)","1,799","6,589"
12,Fire-Boltt,Multi Color Army Kids Digital Watch for Boys,249,216
13,SWADESI STUFF,"Noise Scout Kids Smartwatch with Assisted GPS Tracking, 4G Video & Voice Call, Safe Zone Alert, SOS Button, Habit Formation, in-Built Games, Buddy App for Parents (Racing Black)","5,999",140
14,Noise,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,0,"5,658"
15,V2A,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance (Champagne Gold)",688,"41,349"
16,Hammer,Cammando Midnight Black Analog Digital Sport Watches for Men's and Boys,"1,799",12
17,TIMEWEAR,The Watch,"2,699","5,504"
18,Ben Stiller,"Hammer Stroke 1.96"" Calling Smart Watch with Strong Metallic Body, in Built Games, 100+ Sports Modes, Customized Watchfaces (Black)","1,299",150
19,boAt,Analog New Track Day Date Functioning Leather Strap Watch for Men,990,"1,443"
20,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
21,NIBOSI,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,"2,699",150
22,Fossil,Chronograph Black Men Watch CH2885,"6,145","1,493"
23,Fossil,Chronograph Black Dial Men's Watch-BQ2364,"6,597","1,393"
